,day,month,year,tmax,tmin,city,date
0,19,10,2020,25.8,18.4,AEROPARQUEAERO,2020-10-19
1,19,10,2020,23.9,11.9,AZULAERO,2020-10-19
2,19,10,2020,21.0,10.7,BAHIABLANCAAERO,2020-10-19
3,19,10,2020,-5.7,-11.8,BASECARLINI(EXJUBANY),2020-10-19
5,19,10,2020,-3.0,-9.4,BASEORCADAS,2020-10-19
6,19,10,2020,30.2,17.2,BERNARDODEIRIGOYENAERO,2020-10-19
8,19,10,2020,28.2,18.1,BUENOSAIRESOBSERVATORIO,2020-10-19
9,19,10,2020,25.6,17.6,CAMPODEMAYOAERO,2020-10-19
10,19,10,2020,40.0,25.3,CATAMARCAAERO,2020-10-19
11,19,10,2020,41.0,25.0,CERESAERO,2020-10-19
12,19,10,2020,38.5,26.2,CHAMICALAERO,2020-10-19
13,19,10,2020,33.5,19.5,CHEPES,2020-10-19
17,19,10,2020,29.6,18.7,CORDOBAAERO,2020-10-19
18,19,10,2020,32.8,19.6,CORDOBAOBSERVATORIO,2020-10-19
20,19,10,2020,21.8,12.0,CORONELSUAREZAERO,2020-10-19
22,19,10,2020,24.4,12.9,DOLORESAERO,2020-10-19
23,19,10,2020,29.0,18.0,ELPALOMARAERO,2020-10-19
26,19,10,2020,29.8,15.8,EZEIZAAERO,2020-10-19
27,19,10,2020,40.0,22.8,FORMOSAAERO,2020-10-19
29,19,10,2020,35.6,20.5,GUALEGUAYCHUAERO,2020-10-19
30,19,10,2020,35.0,18.5,IGUAZUAERO,2020-10-19
33,19,10,2020,38.6,17.3,JUJUYAERO,2020-10-19
35,19,10,2020,28.6,13.6,JUNINAERO,2020-10-19
36,19,10,2020,25.2,16.8,LAPLATAAERO,2020-10-19
37,19,10,2020,36.6,27.3,LARIOJAAERO,2020-10-19
38,19,10,2020,31.4,12.6,LABOULAYEAERO,2020-10-19
40,19,10,2020,40.5,23.5,LASLOMITAS,2020-10-19
41,19,10,2020,23.5,12.5,MARDELPLATAAERO,2020-10-19
42,19,10,2020,34.7,19.0,MARCOSJUAREZAERO,2020-10-19
44,19,10,2020,28.5,19.1,MENDOZAAERO,2020-10-19
50,19,10,2020,23.6,11.0,NEUQUENAERO,2020-10-19
51,19,10,2020,28.8,14.2,NUEVEDEJULIO,2020-10-19
53,19,10,2020,24.9,12.4,OLAVARRIAAERO,2020-10-19
54,19,10,2020,42.6,20.4,ORANAERO,2020-10-19
55,19,10,2020,37.6,20.6,PARANAAERO,2020-10-19
56,19,10,2020,36.6,17.4,PASODELOSLIBRESAERO,2020-10-19
57,19,10,2020,26.2,13.8,PEHUAJOAERO,2020-10-19
59,19,10,2020,36.1,21.9,POSADASAERO,2020-10-19
60,19,10,2020,40.5,24.0,PRESIDENCIAROQUESAENZPEÑAAERO,2020-10-19
61,19,10,2020,25.5,14.6,PUNTAINDIOB.A.,2020-10-19
63,19,10,2020,39.0,23.5,RECONQUISTAAERO,2020-10-19
64,19,10,2020,39.7,22.2,RESISTENCIAAERO,2020-10-19
65,19,10,2020,32.0,14.6,RIOCUARTOAERO,2020-10-19
68,19,10,2020,35.0,20.3,ROSARIOAERO,2020-10-19
69,19,10,2020,36.4,14.0,SALTAAERO,2020-10-19
71,19,10,2020,29.4,20.0,SANJUANAERO,2020-10-19
72,19,10,2020,29.0,15.4,SANLUISAERO,2020-10-19
74,19,10,2020,25.5,12.0,SANRAFAELAERO,2020-10-19
75,19,10,2020,24.1,14.2,SANTAROSAAERO,2020-10-19
